Ref,Val,Package,PosX,PosY,Rot,Side
"","","",83.700000,-36.840000,0.000000,top
"","","",85.732000,-36.840000,0.000000,top
"","","",85.732000,-35.824000,0.000000,top
"","","",85.732000,-37.856000,0.000000,top
"","","",84.716000,-36.840000,0.000000,top
"","","",84.716000,-37.856000,0.000000,top
"","","",84.716000,-35.824000,0.000000,top
"","","",83.700000,-37.856000,0.000000,top
"","","",83.700000,-35.824000,0.000000,top
"C1","10u","C_0402_1005Metric",68.841000,-31.252000,0.000000,top
"C2","10u","C_0402_1005Metric",62.745000,-30.998000,90.000000,top
"C3","15p","C_0402_1005Metric",98.852000,-37.208000,-90.000000,top
"C4","15p","C_0402_1005Metric",95.880000,-33.680000,180.000000,top
"C5","100n","C_0402_1005Metric",72.016000,-47.254000,0.000000,top
"C6","1u","C_0402_1005Metric",78.880000,-32.930000,180.000000,top
"C7","1u","C_0402_1005Metric",78.880000,-31.930000,180.000000,top
"C8","100n","C_0402_1005Metric",91.320000,-35.430000,0.000000,top
"C9","100n","C_0402_1005Metric",77.498750,-38.430000,180.000000,top
"C10","100n","C_0402_1005Metric",77.998750,-37.430000,180.000000,top
"C11","100n","C_0402_1005Metric",71.880000,-35.430000,90.000000,top
"C12","100n","C_0402_1005Metric",81.630000,-43.680000,-90.000000,top
"C13","100n","C_0402_1005Metric",86.380000,-42.930000,0.000000,top
"C14","100n","C_0402_1005Metric",91.320000,-36.840000,0.000000,top
"C15","100n","C_0402_1005Metric",85.630000,-30.910000,90.000000,top
"C16","100n","C_0402_1005Metric",83.380000,-30.930000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_C6332272",76.380000,-23.680000,180.000000,top
"J2","Conn_01x03_Socket","Debug_Points",97.680000,-31.430000,180.000000,top
"R1","1M","R_0402_1005Metric",69.857000,-29.347000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",73.822000,-32.178000,-90.000000,top
"R3","5.1K","R_0402_1005Metric",79.130000,-29.680000,0.000000,top
"R4","1K","R_0402_1005Metric",92.080000,-37.856000,180.000000,top
"R5","1K","R_0402_1005Metric",63.761000,-42.936000,0.000000,top
"R6","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",67.571000,-44.333000,-90.000000,top
"R7","27","R_0603_1608Metric",77.880000,-34.430000,0.000000,top
"R8","27","R_0603_1608Metric",77.880000,-35.930000,0.000000,top
"SW1","Memory Reset","SW_SPST_TL3342",54.905000,-41.930000,0.000000,top
"SW2_LK1","SW_Push","SW_Cherry_MX_PCB",174.903943,-104.000000,0.000000,top
"SW3_MK1","SW_Push","SW_Cherry_MX_PCB",199.903943,-90.000000,0.000000,top
"SW4_LP1","SW_Push","SW_Cherry_MX_PCB",174.903943,-75.000000,0.000000,top
"SW5_MP1","SW_Push","SW_Cherry_MX_PCB",199.903943,-61.000000,0.000000,top
"SW6_DI1","SW_Push","SW_Cherry_MX_PCB",175.084257,-46.000561,0.000000,top
"SW7_HP1","SW_Push","SW_Cherry_MX_PCB",228.903943,-61.000000,0.000000,top
"SW8_DP1","SW_Push","SW_Cherry_MX_PCB",60.000000,-71.991696,0.000000,top
"SW9_HK1","SW_Push","SW_Cherry_MX_PCB",228.903943,-90.000000,0.000000,top
"SW10_SHARE1","SW_Push","SW_SPST_Omron_B3F-40xx",212.500000,-41.250000,90.000000,top
"SW11_START1","SW_Push","SW_SPST_Omron_B3F-40xx",197.500000,-41.250000,90.000000,top
"SW12_THROW1","SW_Push","SW_Cherry_MX_PCB",149.880000,-60.330000,0.000000,top
"SW14_PS1","SW_Push","SW_SPST_Omron_B3F-40xx",227.500000,-41.250000,90.000000,top
"SW15_TOUCHPAD1","SW_Push","SW_SPST_Omron_B3F-40xx",242.500000,-41.250000,90.000000,top
"SW16_SPACE1","SW_Push","SW_Cherry_MX_PCB",150.404094,-135.985876,0.000000,top
"SW17_W1","SW_Push","SW_Cherry_MX_PCB_1.00u",117.124891,-54.414457,-22.500000,top
"SW18_DOWN1","SW_Push","SW_Cherry_MX_PCB_1.00u",109.834772,-72.014362,-22.500000,top
"SW19_LEFT1","SW_Push","SW_Cherry_MX_PCB_1.00u",92.234867,-64.724243,-22.500000,top
"SW20_RIGHT1","SW_Push","SW_Cherry_MX_PCB_1.00u",125.903943,-83.000000,-22.500000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",84.678000,-36.878000,90.000000,top
"U2","AMS1117-3.3_SOT223","SOT-223-3_TabPin2",65.822000,-35.678000,180.000000,top
"U3","W25Q128JVSIQ","SOIC-8_5.23x5.23mm_P1.27mm",74.810000,-43.444000,180.000000,top
"Y1","12 mhz crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",96.146000,-36.530000,90.000000,top
