Ref,Val,Package,PosX,PosY,Rot,Side
"","","",142.200000,-70.840000,0.000000,top
"","","",142.200000,-71.856000,0.000000,top
"","","",143.216000,-71.856000,0.000000,top
"","","",142.200000,-69.824000,0.000000,top
"","","",144.232000,-70.840000,0.000000,top
"","","",144.232000,-69.824000,0.000000,top
"","","",143.216000,-70.840000,0.000000,top
"","","",144.232000,-71.856000,0.000000,top
"","","",143.216000,-69.824000,0.000000,top
"C1","4.7u","C_0402_1005Metric",127.020000,-64.000000,0.000000,top
"C2","4.7u","C_0402_1005Metric",127.000000,-65.000000,0.000000,top
"C3","15p","C_0402_1005Metric",157.352000,-71.208000,-90.000000,top
"C4","15p","C_0402_1005Metric",154.380000,-67.680000,180.000000,top
"C5","100n","C_0402_1005Metric",130.516000,-81.254000,0.000000,top
"C6","1u","C_0402_1005Metric",137.380000,-66.930000,180.000000,top
"C7","1u","C_0402_1005Metric",137.380000,-65.930000,180.000000,top
"C8","100n","C_0402_1005Metric",149.820000,-69.430000,0.000000,top
"C9","100n","C_0402_1005Metric",135.998750,-72.430000,180.000000,top
"C10","100n","C_0402_1005Metric",136.498750,-71.430000,180.000000,top
"C11","100n","C_0402_1005Metric",130.380000,-69.430000,90.000000,top
"C12","100n","C_0402_1005Metric",140.130000,-77.680000,-90.000000,top
"C13","100n","C_0402_1005Metric",144.880000,-76.930000,0.000000,top
"C14","100n","C_0402_1005Metric",149.820000,-70.840000,0.000000,top
"C15","100n","C_0402_1005Metric",144.130000,-64.910000,90.000000,top
"C16","100n","C_0402_1005Metric",141.880000,-64.930000,90.000000,top
"C17","4.7u","C_0402_1005Metric",121.245000,-64.998000,90.000000,top
"C18","4.7u","C_0402_1005Metric",120.000000,-65.000000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_U262-161N-4BVC11",134.880000,-57.680000,180.000000,top
"J2","Conn_01x03_Socket","Debug_Points",156.180000,-65.430000,180.000000,top
"R1","1M","R_0402_1005Metric",129.500000,-63.347000,0.000000,top
"R2","5.1K","R_0402_1005Metric",132.322000,-66.178000,-90.000000,top
"R3","5.1K","R_0402_1005Metric",137.630000,-63.680000,0.000000,top
"R4","1K","R_0402_1005Metric",150.580000,-71.856000,180.000000,top
"R5","1K","R_0402_1005Metric",122.261000,-76.936000,0.000000,top
"R6","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",126.071000,-78.333000,-90.000000,top
"R7","27","R_0603_1608Metric",136.380000,-68.430000,0.000000,top
"R8","27","R_0603_1608Metric",136.380000,-69.930000,0.000000,top
"SW1","Memory Reset","SW_SPST_TL3342",113.405000,-75.930000,0.000000,top
"SW8_DP1","SW_Push","SW_Cherry_MX_PCB",118.500000,-105.991696,0.000000,top
"SW17_W1","SW_Push","SW_Cherry_MX_PCB_1.00u",175.624891,-88.414457,-22.500000,top
"SW18_DOWN1","SW_Push","SW_Cherry_MX_PCB_1.00u",168.334772,-106.014362,-22.500000,top
"SW19_LEFT1","SW_Push","SW_Cherry_MX_PCB_1.00u",150.734867,-98.724243,-22.500000,top
"SW20_RIGHT1","SW_Push","SW_Cherry_MX_PCB_1.00u",184.403943,-117.000000,-22.500000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",143.178000,-70.878000,90.000000,top
"U2","AMS1117-3.3_SOT223","SOT-223-3_TabPin2",124.322000,-69.678000,180.000000,top
"U3","W25Q128JVSIQ","SOIC-8_5.23x5.23mm_P1.27mm",133.310000,-77.444000,180.000000,top
"Y1","12 mhz crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",154.646000,-70.530000,90.000000,top
