Ref,Val,Package,PosX,PosY,Rot,Side
"","","",163.416000,-97.724000,0.000000,top
"","","",164.432000,-98.740000,0.000000,top
"","","",163.416000,-99.756000,0.000000,top
"","","",163.416000,-98.740000,0.000000,top
"","","",164.432000,-97.724000,0.000000,top
"","","",164.432000,-99.756000,0.000000,top
"","","",162.400000,-97.724000,0.000000,top
"","","",162.400000,-98.740000,0.000000,top
"","","",162.400000,-99.756000,0.000000,top
"C1","4.7u","C_0402_1005Metric",147.220000,-91.900000,0.000000,top
"C2","4.7u","C_0402_1005Metric",147.200000,-92.900000,0.000000,top
"C3","15p","C_0402_1005Metric",177.552000,-99.108000,-90.000000,top
"C4","15p","C_0402_1005Metric",174.580000,-95.580000,180.000000,top
"C5","100n","C_0402_1005Metric",150.716000,-109.154000,0.000000,top
"C6","1u","C_0402_1005Metric",157.580000,-94.830000,180.000000,top
"C7","1u","C_0402_1005Metric",157.580000,-93.830000,180.000000,top
"C8","100n","C_0402_1005Metric",170.020000,-97.330000,0.000000,top
"C9","100n","C_0402_1005Metric",156.700000,-99.900000,180.000000,top
"C10","100n","C_0402_1005Metric",157.200000,-98.900000,180.000000,top
"C11","100n","C_0402_1005Metric",150.580000,-97.330000,90.000000,top
"C12","100n","C_0402_1005Metric",160.330000,-105.580000,-90.000000,top
"C13","100n","C_0402_1005Metric",165.080000,-104.830000,0.000000,top
"C14","100n","C_0402_1005Metric",170.020000,-98.740000,0.000000,top
"C15","100n","C_0402_1005Metric",164.330000,-92.810000,90.000000,top
"C16","100n","C_0402_1005Metric",162.080000,-92.830000,90.000000,top
"C17","4.7u","C_0402_1005Metric",141.445000,-92.898000,90.000000,top
"C18","4.7u","C_0402_1005Metric",140.200000,-92.900000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_U262-161N-4BVC11",155.080000,-85.580000,180.000000,top
"J2","Conn_01x03_Socket","Debug_Points",176.380000,-93.330000,180.000000,top
"R1","1M","R_0402_1005Metric",149.700000,-91.247000,0.000000,top
"R2","5.1K","R_0402_1005Metric",152.522000,-94.078000,-90.000000,top
"R3","5.1K","R_0402_1005Metric",157.830000,-91.580000,0.000000,top
"R4","1K","R_0402_1005Metric",170.780000,-99.756000,180.000000,top
"R5","1K","R_0402_1005Metric",142.461000,-104.836000,0.000000,top
"R6","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.271000,-106.233000,-90.000000,top
"R7","27","R_0402_1005Metric",157.200000,-96.400000,0.000000,top
"R8","27","R_0402_1005Metric",157.200000,-97.400000,0.000000,top
"SW1","Memory Reset","SW_TS-1187A-C-A-B",133.605000,-103.830000,0.000000,top
"SW8_DP1","SW_Push","SW_Cherry_MX_PCB",138.700000,-133.891696,0.000000,top
"SW16_SPACE1","SW_Push","SW_Cherry_MX_PCB",164.010000,-160.960000,90.000000,top
"SW17_W1","SW_Push","SW_Cherry_MX_PCB_1.00u",195.824891,-116.314457,-22.500000,top
"SW18_DOWN1","SW_Push","SW_Cherry_MX_PCB_1.00u",188.534772,-133.914362,-22.500000,top
"SW19_LEFT1","SW_Push","SW_Cherry_MX_PCB_1.00u",170.934867,-126.624243,-22.500000,top
"SW20_RIGHT1","SW_Push","SW_Cherry_MX_PCB_1.00u",204.603943,-144.900000,-22.500000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",163.378000,-98.778000,90.000000,top
"U2","AMS1117-3.3_SOT223","SOT-223-3_TabPin2",144.522000,-97.578000,180.000000,top
"U3","W25Q128JVSIQ","SOIC-8_5.23x5.23mm_P1.27mm",153.510000,-105.344000,180.000000,top
"Y1","12 mhz crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",174.846000,-98.430000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",171.900000,-139.500000,180.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",176.100000,-162.850000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",150.800000,-150.750000,180.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",150.700000,-173.000000,180.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",143.950000,-150.750000,180.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",176.100000,-177.850000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",158.100000,-139.500000,180.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",176.100000,-148.750000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",128.500000,-161.000000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",153.650000,-145.350000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",128.500000,-154.500000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",153.700000,-177.600000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",128.500000,-168.000000,90.000000,top
