Designator,Mid X,Mid Y,Layer,Rotation
C1,69.00,-31.00,T,0.00
C2,72.00,-35.50,T,90.00
C3,98.85,-37.21,T,270.00
C4,95.88,-33.68,T,180.00
C5,72.02,-47.25,T,0.00
C6,78.88,-32.93,T,180.00
C7,78.88,-31.93,T,180.00
C8,91.32,-35.43,T,0.00
C9,77.00,-38.50,T,180.00
C10,77.25,-37.50,T,180.00
C11,81.70,-30.90,T,90.00
C12,81.63,-43.68,T,270.00
C13,86.38,-42.93,T,0.00
C14,91.32,-36.84,T,0.00
C15,87.00,-30.00,T,0.00
D1,102.42,-33.41,T,90.00
D2,105.01,-33.41,T,90.00
D3,107.60,-33.41,T,90.00
D4,110.19,-33.41,T,90.00
J1,76.38,-24.48,T,180.00
R1,71.00,-29.35,T,0.00
R2,73.82,-32.18,T,270.00
R3,79.13,-29.68,T,0.00
R4,92.08,-37.86,T,180.00
R5,63.76,-42.94,T,0.00
R7,78.25,-34.25,T,0.00
R8,77.08,-35.80,T,0.00
R9,102.00,-38.00,T,180.00
SW1,54.91,-41.93,T,0.00
U1,84.68,-36.88,T,90.00
U2,65.82,-35.68,T,0.00
U3,74.81,-43.44,T,90.00
Y1,96.15,-36.53,T,90.00
